cd_code;cd_codeext;cd_etiquet;cd_cd_code;cd_r1_code;cd_r2_code;cd_r3_code;cd_r4_code;cd_prop;cd_gest;cd_user;cd_proptyp;cd_statut;cd_etat;cd_dateaig;cd_dateman;cd_datemes;cd_avct;cd_type;cd_dia_int;cd_dia_ext;cd_color;cd_long;cd_nbcable;cd_occup;cd_comment;cd_creadat;cd_majdate;cd_majsrc;cd_abddate;cd_abdsrc
9209659;;;;SFR_COLL;DSP MAJ - IRISE;T094;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;138,22616536000;;;;11/03/2024;;;;
9109495;;;;SFR_COLL;DSP MAJ - IRISE;T094;2022;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;40,85306489870;;;;13/02/2024;;;;
9133504;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;47,50731834990;;;;21/02/2024;;;;
9133505;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;17,71394346690;;;;21/02/2024;;;;
9133507;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;104,29119877900;;;;21/02/2024;;;;
9133510;;;;SFR_COLL;DSP MAJ - IRISE;T093;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;89,39227555240;;;;21/02/2024;;;;
9049655;;;;SFR_COLL;DSP MAJ - IRISE;T093;2019;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;77,69569822510;;;;30/01/2024;;;;
9052245;;;;SFR_COLL;DSP MAJ - IRISE;T094;2021;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;21,48237754070;;;;29/01/2024;;;;
460213;;;;SFR_COLL;DSP MAJ - IRISE;T92;012;OR1;OR21;OR21;LOC;MCO;OK;;;;E;;;;;253,83603289000;;;;02/07/2013;;;;
9088387;;;;SFR_COLL;DSP MAJ - IRISE;T092;2020;OR19;OR21;OR21;LOC;MCO;OK;;;;E;INDETERMINE;;;;29,67825446960;;;;06/02/2024;;;;
