ti_code;ti_codeext;ti_etiquet;ti_ba_code;ti_prop;ti_etat;ti_type;ti_rf_code;ti_taille;ti_placemt;ti_localis;ti_comment;ti_creadat;ti_majdate;ti_majsrc;ti_abddate;ti_abdsrc
2813200;2813200;TI-FR-000002ZR-033-AE 001 A 012;3005854;OR21;;TIROIR;RF194;1;35;;;23/02/2011 00:00;;;;
2814121;2814121;TI-FR-00000306-014-FONTENAY-144;3005954;OR21;;TIROIR;RF194;1;14;;;24/09/2002 00:00;;;;
2844273;2844273;TI-FR-00000337-CABLE 01-144 - AA 121-132;3019589;OR21;;TIROIR;RF194;1;11;;;02/04/2003 00:00;;;;
2815407;2815407;IA 133-144;3006269;OR21;;TIROIR;RF194;1;12;;;30/05/2008 00:00;;;;
2813212;2813212;TI-FR-000002ZR-012-NC 73 A 84;3005854;OR21;;TIROIR;RF194;1;12;;;23/08/2002 00:00;;;;
2811843;2811843;AK 133-144;3005464;OR21;;TIROIR;RF194;1;17;;;30/11/2007 00:00;;;;
2813216;2813216;TI-FR-000002ZR-016-NC 121 A 132;3005854;OR21;;TIROIR;RF194;1;16;;;23/08/2002 00:00;;;;
2810594;2810594;IA 037-048;3005218;OR21;;TIROIR;RF194;1;4;;;27/05/2003 00:00;;;;
2811227;2811227;BO-0000043Y-TIROIR 03- AL 025-036;3005372;OR21;;TIROIR;RF194;1;2;;;22/12/2011 00:00;;;;
2814125;2814125;AA 013-024;3005954;OR21;;TIROIR;RF194;1;18;;;24/09/2002 00:00;;;;
2813736;2813736;BAIE BO-000003GO - TIROIR 3 BIS (VERS EDF);3005786;OR21;;TIROIR;RF194;1;26;;;01/06/2011 00:00;;;;
2830405;2830405;COTE GAUCHE - TIROIR 05;3012250;OR21;;TIROIR;RF194;1;5;;;25/09/2007 00:00;;;;
2813035;2813035;TI-FR-00000307-AG 109-120;3005805;OR21;;TIROIR;RF194;1;27;;;26/10/2004 00:00;;;;
2813037;2813037;TI-FR-00000307-AG 133-144;3005805;OR21;;TIROIR;RF194;1;29;;;26/10/2004 00:00;;;;
2811141;2811141;BO-000002Y6-TIROIR 32- AG 049-060;3005379;OR21;;TIROIR;RF194;1;32;;;14/09/2005 00:00;;;;
2830448;2830448;COTE DROITE - TIROIR 70;3012250;OR21;;TIROIR;RF194;1;48;;;25/09/2007 00:00;;;;
2844274;2844274;TI-FR-00000337-CABLE 01-144 - AA 133-144;3019589;OR21;;TIROIR;RF194;1;12;;;02/04/2003 00:00;;;;
2811144;2811144;BO-000002Y6-TIROIR 11- AC 013-024;3005379;OR21;;TIROIR;RF194;1;14;;;24/07/2002 00:00;;;;
2811323;2811323;TIROIR PROVISOIRE;3005386;OR21;;TIROIR;RF194;1;1;;;14/02/2003 00:00;;;;
2830408;2830408;COTE GAUCHE - TIROIR 08;3012250;OR21;;TIROIR;RF194;1;8;;;25/09/2007 00:00;;;;
2811140;2811140;BO-000002Y6-TIROIR 31- AG 037-048;3005379;OR21;;TIROIR;RF194;1;31;;;14/09/2005 00:00;;;;
2811142;2811142;BO-000002Y6-TIROIR 33- AG 061-072;3005379;OR21;;TIROIR;RF194;1;33;;;14/09/2005 00:00;;;;
2822083;2822083;AA 037-048;3008204;OR21;;TIROIR;RF194;1;4;;;17/01/2006 00:00;;;;
2810588;2810588;IB 037-048;3005218;OR21;;TIROIR;RF194;1;16;;;13/04/2011 00:00;;;;
2810593;2810593;IA 025-036;3005218;OR21;;TIROIR;RF194;1;3;;;27/05/2003 00:00;;;;
2844283;2844283;TI-FR-00000337-CABLE 02-144 - AB 097-108;3019589;OR21;;TIROIR;RF194;1;21;;;02/04/2003 00:00;;;;
2844290;2844290;TI-FR-00000337-CABLE 03-072 - AC 037-048;3019589;OR21;;TIROIR;RF194;1;28;;;02/04/2003 00:00;;;;
2810587;2810587;IB 013-024;3005218;OR21;;TIROIR;RF194;1;14;;;13/04/2011 00:00;;;;
2813029;2813029;TI-FR-00000307-AG 037-048;3005805;OR21;;TIROIR;RF194;1;21;;;26/10/2004 00:00;;;;
2811235;2811235;BO-0000043Y-TIROIR 11- AL 121-132;3005372;OR21;;TIROIR;RF194;1;10;;;22/12/2011 00:00;;;;
2814135;2814135;TI-FR-00000306-028-KREMLIN-144;3005954;OR21;;TIROIR;RF194;1;28;;;24/09/2002 00:00;;;;
2811232;2811232;BO-0000043Y-TIROIR 08- AL 085-096;3005372;OR21;;TIROIR;RF194;1;7;;;22/12/2011 00:00;;;;
2813032;2813032;TI-FR-00000307-AG 073-084;3005805;OR21;;TIROIR;RF194;1;24;;;26/10/2004 00:00;;;;
2813226;2813226;TI-FR-000002ZR-026-ST MR 109 A 120;3005854;OR21;;TIROIR;RF194;1;26;;;23/08/2002 00:00;;;;
2823691;2823691;OPEX 1131 037-048;3008958;OR21;;TIROIR;RF194;1;4;;;15/04/2010 00:00;;;;
2815401;2815401;IA 061-072;3006269;OR21;;TIROIR;RF194;1;6;;;30/05/2008 00:00;;;;
2813199;2813199;TI-FR-000002ZR-034-AE 013 A 024;3005854;OR21;;TIROIR;RF194;1;36;;;23/02/2011 00:00;;;;
2813219;2813219;TI-FR-000002ZR-019-ST MR 13 A 24;3005854;OR21;;TIROIR;RF194;1;19;;;23/08/2002 00:00;;;;
2830430;2830430;COTE DROITE - TIROIR 50;3012250;OR21;;TIROIR;RF194;1;30;;;25/09/2007 00:00;;;;
2811237;2811237;BO-0000043Y-TIROIR 01- AL 001-012;3005372;OR21;;TIROIR;RF194;1;12;;;22/12/2011 00:00;;;;
2814131;2814131;TI-FR-00000306-024-KREMLIN-144;3005954;OR21;;TIROIR;RF194;1;24;;;24/09/2002 00:00;;;;
2830475;2830475;AA 049-060;3012262;OR21;;TIROIR;RF194;1;5;;;12/06/2007 00:00;;;;
2813046;2813046;TI-FR-00000307-014 - AD 241-252;3005805;OR21;;TIROIR;RF194;1;14;;;20/11/2002 00:00;;;;
2821937;2821937;AB 049-060;3008204;OR21;;TIROIR;RF194;1;11;;;17/01/2006 00:00;;;;
2830472;2830472;AA 013-024;3012262;OR21;;TIROIR;RF194;1;2;;;12/06/2007 00:00;;;;
2830478;2830478;AB 013-024;3012262;OR21;;TIROIR;RF194;1;14;;;12/06/2007 00:00;;;;
2850804;2850804;BAIE IRISE - IA 001-012;3021900;OR21;;TIROIR;RF194;1;1;;;08/09/2011 00:00;;;;
