cs_code;cs_nb_pas;cs_bp_code;cs_num;cs_type;cs_face;cs_rf_code;cs_comment;cs_creadat;cs_majdate;cs_majsrc;cs_abddate;cs_abdsrc
3340201;;4454865;;E;;RF192;;27/05/2013 00:00;;;;
3380870;;4517585;;E;;RF192;;05/06/2013 00:00;;;;
3384744;;4521425;;E;;RF192;;05/06/2013 00:00;;;;
3385622;;4522707;;E;;RF192;;05/06/2013 00:00;;;;
3396193;;4538385;;E;;RF192;;07/06/2013 00:00;;;;
3396254;;4538386;;E;;RF192;;07/06/2013 00:00;;;;
3412578;;4557921;;E;;RF192;;11/06/2013 00:00;;;;
3435247;;4587025;;E;;RF192;;17/06/2013 00:00;;;;
3456106;;4612625;;E;;RF192;;19/06/2013 00:00;;;;
3465625;;4623825;;E;;RF192;;20/06/2013 00:00;;;;
3511385;;4681745;;E;;RF192;;01/07/2013 00:00;;;;
3581787;;4787988;;E;;RF192;;16/07/2013 00:00;;;;
3644315;;4862867;;E;;RF192;;01/08/2013 00:00;;;;
3644569;;4860305;;E;;RF192;;01/08/2013 00:00;;;;
3732837;;4941299;;E;;RF192;;04/09/2013 00:00;;;;
3734823;;4941940;;E;;RF192;;04/09/2013 00:00;;;;
3737791;;4946084;;E;;RF192;;05/09/2013 00:00;;;;
3797502;;5001457;;E;;RF192;;24/09/2013 00:00;;;;
3812249;;5013618;;E;;RF192;;27/09/2013 00:00;;;;
3819902;;5023185;;E;;RF192;;01/10/2013 00:00;;;;
3820533;;5023185;;E;;RF192;;01/10/2013 00:00;;;;
3842961;;5044001;;E;;RF192;;08/10/2013 00:00;;;;
3900235;;5094295;;E;;RF192;;23/10/2013 00:00;;;;
3905318;;5099025;;E;;RF192;;24/10/2013 00:00;;;;
3936037;;5131025;;E;;RF192;;05/11/2013 00:00;;;;
3967068;;5159185;;E;;RF192;;15/11/2013 00:00;;;;
4004530;;5199825;;E;;RF192;;27/11/2013 00:00;;;;
4077256;;5261618;;E;;RF192;;17/12/2013 00:00;;;;
4098397;;3292290;;E;;RF192;;20/12/2013 00:00;;;;
4191796;;5365298;;E;;RF192;;23/01/2014 00:00;;;;
4193053;;5358242;;E;;RF192;;23/01/2014 00:00;;;;
4194975;;5369138;;E;;RF192;;23/01/2014 00:00;;;;
4240757;;5410097;;E;;RF192;;05/02/2014 00:00;;;;
4485344;;5634833;;E;;RF192;;10/04/2014 00:00;;;;
4536828;;3286132;;E;;RF192;;29/04/2014 00:00;;;;
4601113;;5747745;;E;;RF192;;22/05/2014 00:00;;;;
4720844;;3508308;;E;;RF192;;30/06/2014 00:00;;;;
4809742;;5940409;;E;;RF192;;25/07/2014 00:00;;;;
4836388;;5967619;;E;;RF192;;05/08/2014 00:00;;;;
4872839;;6000545;;E;;RF192;;21/08/2014 00:00;;;;
4964417;;6084706;;E;;RF192;;24/09/2014 00:00;;;;
5066419;;6180067;;E;;RF192;;29/10/2014 00:00;;;;
5197339;;6291765;;E;;RF192;;12/12/2014 00:00;;;;
5257088;;6342657;;E;;RF192;;16/01/2015 00:00;;;;
5262424;;6346163;;E;;RF192;;20/01/2015 00:00;;;;
5274210;;6357730;;E;;RF192;;27/01/2015 00:00;;;;
5274228;;6357730;;E;;RF192;;27/01/2015 00:00;;;;
6680205;;7617795;;E;;RF192;;16/09/2016 00:00;;;;
6990786;;7864577;;E;;RF192;;24/11/2016 00:00;;;;
7268109;;8080948;;E;;RF192;;23/01/2017 00:00;;;;
7290129;;8095250;;E;;RF192;;26/01/2017 00:00;;;;
7344561;;8137841;;E;;RF192;;06/02/2017 00:00;;;;
7442905;;8216853;;E;;RF192;;23/02/2017 00:00;;;;
7500083;;8272529;;E;;RF192;;06/03/2017 00:00;;;;
7513189;;8282888;;E;;RF192;;08/03/2017 00:00;;;;
7573057;;8337192;;E;;RF192;;17/03/2017 00:00;;;;
9696022;;9702886;;E;;RF192;;16/04/2018 00:00;;;;
10738263;;10265153;;E;;RF192;;25/10/2018 00:00;;;;
10910661;;10370121;;E;;RF192;;20/11/2018 00:00;;;;
11574740;;10729808;;E;;RF192;;25/02/2019 00:00;;;;
12555280;;11169468;;E;;RF192;;07/06/2019 00:00;;;;
12577338;;11173657;;E;;RF192;;11/06/2019 00:00;;;;
12861865;;11331383;;E;;RF192;;05/07/2019 00:00;;;;
12861887;;11331381;;E;;RF192;;05/07/2019 00:00;;;;
12925505;;11362738;;E;;RF192;;11/07/2019 00:00;;;;
12928082;;11362756;;E;;RF192;;11/07/2019 00:00;;;;
12942187;;11364659;;E;;RF192;;12/07/2019 00:00;;;;
13185350;;11489460;;E;;RF192;;05/08/2019 00:00;;;;
13189193;;11489466;;E;;RF192;;05/08/2019 00:00;;;;
13214581;;11504497;;E;;RF192;;07/08/2019 00:00;;;;
13218976;;11504510;;E;;RF192;;07/08/2019 00:00;;;;
