rt_id;rt_code;rt_code_ext;rt_fo_code;rt_fo_ordr;rt_comment;rt_creadat;rt_majdate;rt_majsrc;rt_abddate;rt_abdsrc
276;188864;;FO000000172992;4;;05/07/2023 00:00;;;;
277;220405;;FO000000111504;3;;05/07/2023 00:00;;;;
278;220405;;FO000000111792;4;;05/07/2023 00:00;;;;
279;220405;;FO000000124392;5;;05/07/2023 00:00;;;;
280;220405;;FO000000124146;6;;05/07/2023 00:00;;;;
281;220909;;FO000000211198;3;;05/07/2023 00:00;;;;
282;220909;;FO000000211342;4;;05/07/2023 00:00;;;;
283;226957;;FO000000011459;4;;05/07/2023 00:00;;;;
284;226957;;FO000000046621;5;;05/07/2023 00:00;;;;
285;226957;;FO000000064309;6;;05/07/2023 00:00;;;;
286;226957;;FO000000064237;7;;05/07/2023 00:00;;;;
287;226957;;FO000000064153;8;;05/07/2023 00:00;;;;
288;226957;;FO000000153093;9;;05/07/2023 00:00;;;;
289;226957;;FO000000063961;10;;05/07/2023 00:00;;;;
290;226957;;FO000000046549;11;;05/07/2023 00:00;;;;
291;226957;;FO000000156477;12;;05/07/2023 00:00;;;;
292;226957;;FO000000003781;13;;05/07/2023 00:00;;;;
293;226957;;FO000000022149;14;;05/07/2023 00:00;;;;
294;230026;;FO000000099601;3;;05/07/2023 00:00;;;;
295;230026;;FO000000023059;4;;05/07/2023 00:00;;;;
296;230026;;FO000000236116;5;;05/07/2023 00:00;;;;
297;230026;;FO000000082431;6;;05/07/2023 00:00;;;;
298;230026;;FO000000220334;7;;05/07/2023 00:00;;;;
299;230026;;FO000000220406;8;;05/07/2023 00:00;;;;
300;232720;;FO000000055178;1;;05/07/2023 00:00;;;;
301;233158;;FO000000216725;3;;05/07/2023 00:00;;;;
302;233158;;FO000000106279;4;;05/07/2023 00:00;;;;
303;233158;;FO000000106423;5;;05/07/2023 00:00;;;;
304;233158;;FO000000136777;6;;05/07/2023 00:00;;;;
305;233158;;FO000000226120;7;;05/07/2023 00:00;;;;
306;233158;;FO000000140821;8;;05/07/2023 00:00;;;;
307;233158;;FO000000140965;9;;05/07/2023 00:00;;;;
308;233158;;FO000000107371;10;;05/07/2023 00:00;;;;
