bp_code;bp_etiquet;bp_codeext;bp_pt_code;bp_sf_code;bp_prop;bp_gest;bp_user;bp_proptyp;bp_statut;bp_etat;bp_occp;bp_datemes;bp_avct;bp_typephy;bp_typelog;bp_rf_code;bp_entrees;bp_ref_kit;bp_ca_nb;bp_nb_pas;bp_linecod;bp_oc_code;bp_racco;bp_comment;bp_creadat;bp_majdate;bp_majsrc;bp_abddate;bp_abdsrc
3288021;IRS - BI TOURNELLES_1 (D74) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33665023E48.77764772N;20/07/2009;;;;
3288043;IRS - BI AUDITORIUM (D76) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33713983E48.78010145N;20/07/2009;;;;
3288047;IRS-RUE MARITON_RUE DIEUMEGARD (SAINT OUEN) - BPE 1;TERRITOIRE;7616000;;OR21;OR1;OR21;CST;MCO;OK;1.1;31/01/2007;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33714808E48.90658504N;31/01/2007;;;;
3288050;IRS - BI RESID_DES_JARDINS (D87) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33721824E48.77137375N;20/07/2009;;;;
3288053;IRS - BI FRETTES_1_&_MAIRIE (D45'D46) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33724551E48.77960680N;20/07/2009;;;;
3288054;RUE DES JARDINS LHAY LES ROSES - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;23/01/2007;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33725911E48.77993037N;23/01/2007;;;;
3288057;IRS - BI CHAUFFERIE_GS_DU_CENTRE (D14) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33731352E48.78041573N;20/07/2009;;;;
3288062;IRS - BI TOURNELLES_2 (D75) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33743590E48.77845634N;20/07/2009;;;;
3288075;IRS - BI CLOSERIE (D88) - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;20/07/2009;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33759899E48.77189506N;20/07/2009;;;;
3288080;IRS - AV PAUL DOUMER - BPE 1;TERRITOIRE;;;OR21;OR1;OR21;CST;MCO;OK;1.1;28/09/2003;E;AUTR;BPE;RF2;;;;;;;;GPS COORD : 002.33761312E48.80627398N;28/09/2003;;;;
