sf_code;sf_nd_code;sf_ad_code;sf_zp_code;sf_escal;sf_etage;sf_oper;sf_type;sf_prop;sf_resid;sf_local;sf_racco;sf_comment;sf_creadat;sf_majdate;sf_majsrc;sf_abddate;sf_abdsrc
5278753;5278753;5278753;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;18/10/2013;;;;
5283521;5283521;5283521;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/10/2013;;;;
5304977;5304977;5304977;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/10/2013;;;;
5479681;5479681;5479681;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;20/12/2013;;;;
5543057;5543057;5543057;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/01/2014;;;;
6556577;6556577;6556577;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;12/01/2015;;;;
7010049;7010049;7010049;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/11/2015;;;;
7480177;7480177;7480177;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/05/2016;;;;
8450481;8450481;8450481;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;23/01/2017;;;;
8689793;8689793;8689793;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;09/03/2017;;;;
9635175;9635175;9635175;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/11/2017;;;;
10740035;10740035;10740035;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;11/10/2018;;;;
11083076;11083076;11083076;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/12/2018;;;;
11693021;11693021;11693021;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/04/2019;;;;
11693022;11693022;11693022;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;24/04/2019;;;;
11768193;11768193;11768193;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/05/2019;;;;
12333333;12333333;12333333;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/07/2019;;;;
12671554;12671554;12671554;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/09/2019;;;;
13212748;13212748;13212748;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/11/2019;;;;
13324363;13324363;13324363;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/11/2019;;;;
13383233;13383233;13383233;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/12/2019;;;;
14008208;14008208;14008208;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;21/02/2020;;;;
14063556;14063556;14063556;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/02/2020;;;;
15302914;15302914;15302914;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/07/2020;;;;
15302916;15302916;15302916;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;10/07/2020;;;;
15412036;15412036;15412036;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;22/07/2020;;;;
16140689;16140689;16140689;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;28/09/2020;;;;
16157651;16157651;16157651;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16157730;16157730;16157730;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;29/09/2020;;;;
16167895;16167895;16167895;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/09/2020;;;;
16167896;16167896;16167896;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/09/2020;;;;
16174609;16174609;16174609;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;30/09/2020;;;;
16195089;16195089;16195089;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/10/2020;;;;
16195090;16195090;16195090;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/10/2020;;;;
16212049;16212049;16212049;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/10/2020;;;;
16214946;16214946;16214946;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/10/2020;;;;
16218129;16218129;16218129;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;05/10/2020;;;;
16979122;16979122;16979122;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;16/12/2020;;;;
17435775;17435775;17435775;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;08/02/2021;;;;
19364722;19364722;19364722;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/08/2021;;;;
19619777;19619777;19619777;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;27/08/2021;;;;
19677044;19677044;19677044;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;02/09/2021;;;;
19702642;19702642;19702642;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;06/09/2021;;;;
21922485;21922485;21922485;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;19/01/2022;;;;
21992256;21992256;21992256;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;25/01/2022;;;;
24116109;24116109;24116109;;;;OR21;P;OR225;;LOCAL INFO CLIENT;RA;;07/07/2022;;;;
