do_code;do_ref;do_reftier;do_r1_code;do_r2_code;do_r3_code;do_r4_code;do_type;do_indice;do_date;do_classe;do_url1;do_url2;do_comment;do_creadat;do_majdate;do_majsrc;do_abddate;do_abdsrc
182;34268;9SI-3-T93-066-RT-27;;;;;200;;;;;;;;;;;
183;34269;9SI-3-T93-066-ZO-31;;;;;200;;;;;;;;;;;
184;34270;9SI-3-T93-048-RT-39;;;;;200;;;;;;;;;;;
185;34271;9SI-3-T93-048-RT-43;;;;;200;;;;;;;;;;;
186;33563;PACC_9SI3T95127_Square de l'Echiquier;;;;;200;;;;;;;;;;;
187;33564;PACC_9SI3T95127_Av. du Hazay 3;;;;;200;;;;;;;;;;;
188;33565;PACC_9SI3T95127_Av. du Hazay1;;;;;200;;;;;;;;;;;
189;33608;PACC_9SI3T95127_Av. du Jour 2;;;;;200;;;;;;;;;;;
190;33609;PACC_9SI3T95127_Av. du Jour 1;;;;;200;;;;;;;;;;;
191;33610;PACC_9SI3T95127_Constellation1;;;;;200;;;;;;;;;;;
192;33652;9SI-3-T95-127-RT-56;;;;;200;;;;;;;;;;;
193;33698;9SI-3-T94-081-RT-82;;;;;200;;;;;;;;;;;
194;33699;9SI-3-T94-081-RT-80;;;;;200;;;;;;;;;;;
195;33700;9SI-3-T94-081-ZO-25;;;;;200;;;;;;;;;;;
196;33701;9SI-3-T94-081-RT-35;;;;;200;;;;;;;;;;;
197;33702;9SI-3-T94-081-RT-33;;;;;200;;;;;;;;;;;
198;33517;2Z1-3-T13-S01-RT-01;;;;;200;;;;;;;;;;;
199;33518;2Z1-3-T12-S01-RT-01;;;;;200;;;;;;;;;;;
200;33519;2Z1-3-T12-S00-SI-01;;;;;5000;;;;;;;;;;;
201;33520;2Z1-3-T03-S00-SI-01;;;;;5000;;;;;;;;;;;
202;33522;9SI-3-T95-585-RT-58;;;;;200;;;;;;;;;;;
203;33583;LEV3_9SI-3-T95-127-RT-01;;;;;1000;;;;;;;;;;;
204;33584;LEV3_9SI-3-T95-127-RT-04;;;;;1000;;;;;;;;;;;
205;33653;9SI-3-T95-127-RT-54;;;;;200;;;;;;;;;;;
206;33654;9SI-3-T95-127-RT-53;;;;;200;;;;;;;;;;;
207;33655;9SI-3-T95-127-RT-14;;;;;200;;;;;;;;;;;
