cb_code;cb_codeext;cb_etiquet;cb_nd1;cb_nd2;cb_r1_code;cb_r2_code;cb_r3_code;cb_r4_code;cb_prop;cb_gest;cb_user;cb_proptyp;cb_statut;cb_etat;cb_dateins;cb_datemes;cb_avct;cb_tech;cb_typephy;cb_typelog;cb_rf_code;cb_capafo;cb_fo_disp;cb_fo_util;cb_modulo;cb_diam;cb_color;cb_lgreel;cb_localis;cb_comment;cb_creadat;cb_majdate;cb_majsrc;cb_abddate;cb_abdsrc
4607220;TERRITOIRE;IRS 12 FO -F MITTERRAND / POP PIERFITTE MATERNELLE E.R;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;21/03/2005;21/03/2005;C;OPT;C;DI;RF14;12;8;4;2;;4;95,3833;;;21/03/2005;;;;
36823784;TERRITOIRE;CH SAT SECURISEE CAM34_FT662 / N-1 MAIRIE BPE02_FT684;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;20/02/2023;20/02/2023;C;OPT;C;DI;RF29;24;22;2;4;;5;141,5906;;;20/02/2023;;;;
22167459;TERRITOIRE;24 FO - BPE FT 419 / BPE FT 356;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;05/02/2021;05/02/2021;C;OPT;C;DI;RF29;24;22;2;4;;5;287,4648;;;05/02/2021;;;;
31045873;HORS TERRITOIRE;IRS - 72FO - ROUTE NAPOLEON_ALLEE DU COLLEGE / NAPOLEON III (VAUCRESSONS);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;27/09/2004;27/09/2004;C;OPT;C;TR;RF16;72;48;24;6;;4;255,6870;;;27/09/2004;;;;
36650670;TERRITOIRE;24 FO - FT 1730 (SELON RETOUR TERRAIN)  48 RUE DU MOUTIER / FT242 - 34 RUE DU LANDY;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;10/02/2023;10/02/2023;C;OPT;C;DI;RF29;24;22;2;4;;5;740,2729;;;10/02/2023;;;;
27704097;TERRITOIRE;BPE CH IRISE L3T AV DE LA MARNE - BPE 1/MATERNELLE HAUT MESNIL MONTROUGE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;17/11/2005;17/11/2005;C;OPT;C;DI;RF14;12;2;10;2;;4;55,4712;;;17/11/2005;;;;
4607797;TERRITOIRE;IRS - 36FO - N-1 CAA CLAMART/CLAMART N_2 PT;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;13/12/2004;13/12/2004;C;OPT;C;TR;RF42;36;10;26;6;;4;174,6281;;;13/12/2004;;;;
4605491;TERRITOIRE;IRS - 72FO - RUE DE LA BIEVRE/RUE DE LA COSARDE (L'HAYE LES ROSES);;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;01/03/2006;01/03/2006;C;OPT;C;TR;RF16;72;61;11;6;;4;957,2149;;;01/03/2006;;;;
4609509;TERRITOIRE;IRS - 48FO - IRS - FT 559 - 4 ALLEE DU VAL DU MOULIN (STAINS)/MONMOUSSEAU_MOULIN NEUF;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;16/01/2008;16/01/2008;C;OPT;C;TR;RF19;48;42;6;4;;4;396,1204;;;16/01/2008;;;;
5410450;TERRITOIRE;IRS - 144 FO - 1 RUE RATEAU/IRS AVENUE MARCEL N CACHIN;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;10/01/2013;10/01/2013;C;OPT;C;LH;RF35;144;116;28;12;;4;532,6663;;;10/01/2013;;;;
4631831;TERRITOIRE;IRS - 144FO - SALENGRO-DAMOUS/1 BOULEVARD ARISTIDE BRIAND ( CHAMPIGNY-SUR-MARNE );;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;24/11/2009;24/11/2009;C;OPT;C;LH;RF40;144;75;69;12;;4;439,3206;;;24/11/2009;;;;
23255139;TERRITOIRE;IRS - 36 FO - FT 622 - RUE JULES VALLES / IRS - 48 RUE DES ROSIERS;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;22/04/2021;22/04/2021;C;OPT;C;TR;RF50;36;36;0;3;;4;820,9611;;;22/04/2021;;;;
44410341;TERRITOIRE;IRISE - 12FO - CH SAT SECURISEE CAM68_FT712 / POP C68 LES PAVILLONS SOUS BOIS - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;19/04/2024;19/04/2024;C;OPT;C;DI;RF27;12;10;2;2;;5;2,8234;;;19/04/2024;;;;
4604601;TERRITOIRE;NE PAS UTILISER - IRS - 72FO - PLACE VOLTAIRE/55 RUE GABRIEL PERI;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;10/09/2002;10/09/2002;C;OPT;C;TR;RF82;72;36;36;6;;193;619,2597;;;10/09/2002;;;;
4603828;HORS TERRITOIRE;IRS 48 FO - ROISSY 8PT/N-1 XEROX VILLEPINTE;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;24/06/2011;24/06/2011;C;OPT;C;TR;RF19;48;40;8;4;;4;790,2670;;;24/06/2011;;;;
45522017;TERRITOIRE;IRS - 12FO - RUE DU CASTEL MARLY / POP CRECHE CASTEL MARLY NANTERRE - AA;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;28/06/2024;28/06/2024;C;OPT;C;DI;RF27;12;10;2;2;;5;28,5125;;;28/06/2024;;;;
4614342;HORS TERRITOIRE;IRS - PLACE CLEMENCEAU/PONT DE ST CLOUD;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;24/09/2007;24/09/2007;C;OPT;C;TR;RF16;72;20;52;6;;4;70,1013;;;24/09/2007;;;;
18390139;TERRITOIRE;IRS - 12 FO - IRS - FT 1911 - FACE 12 RUE PAUL DOUMER / IRS - FT 2329 - 40 RUE BEL AIR;;;SFR_COLL;DSP_MAJ_IRISE;;;OR21;OR1;OR21;CST;MCO;OK;15/05/2020;15/05/2020;C;OPT;C;DI;RF27;12;8;4;2;;5;429,5237;;;15/05/2020;;;;
