dm_cd_code;dm_cm_code;dm_creadat;dm_majdate;dm_majsrc;dm_abddate;dm_abdsrc
419010;565720;;;;;
419022;565728;;;;;
419023;565729;;;;;
3350135;1968744;;;;;
3367419;587796;;;;;
3368378;586721;;;;;
419040;565742;;;;;
419042;565746;;;;;
3189184;563040;;;;;
3189182;563040;;;;;
3228539;558958;;;;;
418795;565676;;;;;
418796;565677;;;;;
418822;565695;;;;;
418823;565696;;;;;
418824;565697;;;;;
418825;565698;;;;;
416910;553517;;;;;
420254;567153;;;;;
3193346;586110;;;;;
3193343;586110;;;;;
653804;724233;;;;;
420430;567177;;;;;
421215;566819;;;;;
421220;566823;;;;;
487371;559578;;;;;
3217661;558772;;;;;
3242949;562677;;;;;
420448;567194;;;;;
3191097;564207;;;;;
422531;565903;;;;;
422532;565903;;;;;
422533;565903;;;;;
422557;565912;;;;;
422558;565913;;;;;
419933;569098;;;;;
420549;568144;;;;;
421353;567497;;;;;
422575;565925;;;;;
422576;565927;;;;;
422577;565928;;;;;
422209;566946;;;;;
422210;566947;;;;;
422211;566948;;;;;
3375421;653420;;;;;
3375417;563224;;;;;
3189180;562644;;;;;
421506;563134;;;;;
422528;565901;;;;;
422530;565903;;;;;
421547;567529;;;;;
421550;567535;;;;;
422417;566046;;;;;
422426;566056;;;;;
423119;565854;;;;;
423134;565997;;;;;
3206459;564086;;;;;
422899;565805;;;;;
422900;565806;;;;;
3231746;556266;;;;;
425488;558992;;;;;
425489;558992;;;;;
425490;558992;;;;;
425491;558993;;;;;
425492;558993;;;;;
425493;558993;;;;;
425494;558993;;;;;
425495;558994;;;;;
425138;558660;;;;;
425139;558661;;;;;
425140;558662;;;;;
425141;558662;;;;;
425142;558663;;;;;
425153;558680;;;;;
425154;590691;;;;;
425155;590690;;;;;
425156;590689;;;;;
425157;558682;;;;;
425162;558687;;;;;
425163;558687;;;;;
425167;558689;;;;;
425168;558689;;;;;
425169;558690;;;;;
425170;558690;;;;;
425171;558690;;;;;
422616;566084;;;;;
422617;566086;;;;;
423290;565867;;;;;
423291;565869;;;;;
423294;565871;;;;;
423325;565887;;;;;
423326;565887;;;;;
423327;565887;;;;;
423328;565888;;;;;
424974;558648;;;;;
424975;558650;;;;;
424976;558652;;;;;
424977;558653;;;;;
424978;558653;;;;;
424981;558656;;;;;
424982;558657;;;;;
424983;558658;;;;;
424984;558658;;;;;
424985;558659;;;;;
422728;565928;;;;;
422729;565929;;;;;
422730;565929;;;;;
422731;565930;;;;;
3375423;1977633;;;;;
3375422;653420;;;;;
423479;565888;;;;;
423491;555491;;;;;
423492;555491;;;;;
423493;555491;;;;;
423494;555491;;;;;
424274;555454;;;;;
424275;555454;;;;;
424276;555454;;;;;
423495;555491;;;;;
423496;555491;;;;;
423497;555492;;;;;
423498;555492;;;;;
423499;555492;;;;;
423500;555492;;;;;
423501;555492;;;;;
423502;555492;;;;;
423503;555493;;;;;
423504;555493;;;;;
423505;555493;;;;;
423506;555493;;;;;
423507;555493;;;;;
423508;555493;;;;;
423509;555494;;;;;
423510;555494;;;;;
423511;555494;;;;;
423512;555494;;;;;
423513;555494;;;;;
423514;555494;;;;;
424774;558608;;;;;
424775;558608;;;;;
424776;558609;;;;;
424936;558616;;;;;
