WKT;ND_CODE;ND_CODEEXT;ND_NOM;ND_CODERAT;ND_R1_CODE;ND_R2_CODE;ND_R3_CODE;ND_R4_CODE;ND_VOIE;ND_TYPE;ND_TYPE_EP;ND_COMMENT;ND_DTCLASS;ND_GEOLQLT;ND_GEOLMOD;ND_GEOLSRC;ND_CREADAT;ND_MAJDATE;ND_MAJSRC;ND_ABDDATE;ND_ABDSRC
"POINT (644085.226095782 6869776.837217)";"3461647";"3461647";AP-HP - HOPITAL LOUIS MOURIER;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-29 00:00:00;;;;
"POINT (644094.073885534 6853918.80564299)";"3461676";"3461676";POP CSC PAVE BLANC (CENTRE SOCIO CULTUREL);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2006-06-23 00:00:00;;;;
"POINT (644120.974172601 6852950.66895041)";"3461677";"3461677";POP KHEOPS PLESSIS ROBINSON;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2005-11-18 00:00:00;;;;
"POINT (644120.974172601 6852950.66895041)";"3461685";"3461685";POP MBDA BOURSIDIERE (PLESSIS-ROBINSON);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-01-30 00:00:00;;;;
"POINT (644247.789368901 6859324.19433954)";"3461687";"3461687";POP VINCI IMMOBILIER HEYRAULT BOULOGNE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-02-17 00:00:00;;;;
"POINT (644240.699734455 6853462.31798166)";"3461696";"3461696";POP MBDA REAUMUR PLESSIS ROBINSON;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-01-30 00:00:00;;;;
"POINT (644476.966701194 6853573.30223547)";"3461727";"3461727";POP AUDIOPTIC 2000 CLAMART;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2009-03-09 00:00:00;;;;
"POINT (644554.345683515 6853193.66251749)";"3461740";"3461740";POP AIR LIQUIDE LE PLESSIS (EDS);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2004-05-25 00:00:00;;;;
"POINT (644534.679719149 6852854.04665827)";"3461744";"3461744";POP CS GALILEE PLESSIS ROBINSON;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2005-05-04 00:00:00;;;;
"POINT (644903.176027366 6858396.80039626)";"3461797";"3461797";POP ADEME BD ILES (ISSY-LES-MOULINEAUX);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-12-17 00:00:00;;;;
"POINT (644981.052392531 6859579.43245758)";"3461805";"3461805";POP SHISEIDO MARCEL DASSAULT (BOULOGNE);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-06-25 00:00:00;;;;
"POINT (644998.891148419 6858029.72643121)";"3461810";"3461810";POP LAFARGE ISSY LES MOULINEAUX;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2005-01-28 00:00:00;;;;
"POINT (645415.189863293 6869397.90021423)";"3461846";"3461846";POP MAIRIE DE COLOMBES;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-19 00:00:00;;;;
"POINT (645316.536390626 6854540.66743749)";"3461849";"3461849";AP-HP - HOPITAL ANTOINE BECLERE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-29 00:00:00;;;;
"POINT (645489.178415549 6866424.05470699)";"3461858";"3461858";POP MAIRIE DE COURBEVOIE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2002-09-11 00:00:00;;;;
"POINT (645555.4113394 6859547.63057269)";"3461879";"3461879";TD_BOULOGNE BILLANCOURT GANCE CLI;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-12-05 00:00:00;;;;
"POINT (645555.4113394 6859547.63057269)";"3461880";"3461880";POP LABORATOIRE PIERRE FABRE BOULOGNE ??;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2004-10-21 00:00:00;;;;
"POINT (645598.600528684 6855761.55859223)";"3461896";"3461896";POP CLAMART MAISON DES SPORTS;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2009-01-12 00:00:00;;;;
"POINT (645772.844687044 6858782.26754618)";"3461916";"3461916";POP CBS OUTDOOR ISSY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2008-10-28 00:00:00;;;;
"POINT (645725.272186172 6855851.44120373)";"3461917";"3461917";POP CLAMART SALLE DES FETES;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2009-01-12 00:00:00;;;;
"POINT (645789.743446036 6856537.89531559)";"3461922";"3461922";POP CLAMART CUISINE CENTRALE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2009-01-12 00:00:00;;;;
"POINT (645866.71040262 6867350.33190848)";"3461925";"3461925";POP OVERLAP COURBEVOIE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-06-08 00:00:00;;;;
"POINT (645761.031032545 6858684.42582484)";"3461935";"3461935";TD_ISSY LES MOULINEAUX PASSEUR CLI;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-12-05 00:00:00;;;;
"POINT (645938.32236267 6855635.78314879)";"3461951";"3461951";POP CLAMART MEDIATHEQUE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-10-24 00:00:00;;;;
"POINT (646023.93569451 6856072.79947133)";"3461959";"3461959";POP CLAMART THEATRE JEAN ARP;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-10-24 00:00:00;;;;
"POINT (646159.545816806 6859610.52132149)";"3461962";"3461962";POP VERIZON GENERALLI LUNDBECK;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2009-07-10 00:00:00;;;;
"POINT (646107.18360547 6856228.00656487)";"3461972";"3461972";POP CLAMART DISPENSAIRE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2006-05-16 00:00:00;;;;
"POINT (646329.591455975 6868443.79344562)";"3461992";"3461992";POP MAIRIE DE BOIS COLOMBES;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2002-09-09 00:00:00;;;;
"POINT (646332.949296917 6859489.90725478)";"3461999";"3461999";POSTE RTE HARCOURT (ISSY LES MOULINEAUX );;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2011-04-28 00:00:00;;;;
"POINT (646806.208293284 6866528.93622321)";"3462055";"3462055";POP ALSTOM LEVALLOIS;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-03-26 00:00:00;;;;
"POINT (646779.884634373 6857912.33960249)";"3462058";"3462058";POP DURAN TV (ISSY);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-09-18 00:00:00;;;;
"POINT (646847.034551983 6855177.59149336)";"3462071";"3462071";POP C.A.S.S.;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2009-08-24 00:00:00;;;;
"POINT (646962.799801712 6859464.86600203)";"3462082";"3462082";POP DIRECT ENERGIE ARMAND PARIS;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2009-01-21 00:00:00;;;;
"POINT (647052.950342542 6859013.38174867)";"3462090";"3462090";AP-HP - HOPITAL CORENTIN CELTON ISSY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2004-04-14 00:00:00;;;;
"POINT (629562.799054167 6883860.8322964)";"3462460";"3462460";POP BP FRANCE CERGY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2011-08-26 00:00:00;;;;
"POINT (629631.926771777 6883783.78562929)";"3462463";"3462463";POP CPAM CERGY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2010-03-29 00:00:00;;;;
"POINT (632107.277699156 6884026.66565505)";"3462517";"3462517";POP RELIANCE GLOBALGOM BEAUX SOLEILS (OSNY);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-07-19 00:00:00;;;;
"POINT (632442.095295714 6882368.43127818)";"3462529";"3462529";POP EDF NIELSEN AVENUE DES 3 FONTAINE (CERGY);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2011-11-14 00:00:00;;;;
"POINT (632502.690422762 6882421.52066892)";"3462531";"3462531";POP IUT CERGY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-12-09 00:00:00;;;;
"POINT (632574.784518022 6882699.4484664)";"3462534";"3462534";POP ENERTRAG CERGY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2011-05-26 00:00:00;;;;
"POINT (632585.418113608 6882777.85520599)";"3462539";"3462539";POP CNAMTS CERGY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2009-02-13 00:00:00;;;;
"POINT (632658.025618287 6882765.91251007)";"3462544";"3462544";POP CNAV CERGY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-07-01 00:00:00;;;;
"POINT (634624.470738744 6880989.70681006)";"3462597";"3462597";POP WIKA INSTRUMENT ERAGNY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-04-17 00:00:00;;;;
"POINT (635359.153073101 6880787.62269832)";"3462612";"3462612";POP SPIE ROSA LUXEMBOURG ERAGNY;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-04-18 00:00:00;;;;
"POINT (635911.552264465 6881231.6364553)";"3462623";"3462623";POP FRANCE CARGO AVENUE DE LA PATELLE (HERBLAY);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2012-02-16 00:00:00;;;;
"POINT (636159.084518616 6856036.59264772)";"3462641";"3462641";POP MAIRIE DE VERSAILLES;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2010-08-04 00:00:00;;;;
"POINT (648373.62734607 6870510.40166233)";"3462687";"3462687";POP GENNEVILLIERS RAM - RELAIS ASSISTANCE MATERNELLE;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2006-09-26 00:00:00;;;;
"POINT (648309.992483026 6858282.27003268)";"3462701";"3462701";TD_VANVES BLEUZEN CLI;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2007-12-05 00:00:00;;;;
"POINT (648535.651534171 6870763.8906477)";"3462736";"3462736";POP CMS GENNEVILLIERS;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2005-03-31 00:00:00;;;;
"POINT (648552.062175962 6870575.86452656)";"3462746";"3462746";POP GENNEVILLIERS CENTRE EDOUARD MANET (CEM);;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2005-03-31 00:00:00;;;;
"POINT (648586.973923734 6869496.21417744)";"3462751";"3462751";POP PPI GENNEVILLIERS;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2006-04-21 00:00:00;;;;
"POINT (648796.130359779 6858098.29895982)";"3462816";"3462816";POP MAIRIE DE MALAKOFF;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2002-11-18 00:00:00;;;;
"POINT (649015.585008747 6870911.77274216)";"3462835";"3462835";POP IUT GENNEVILLIERS BAT.B;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;B;;;;2010-06-02 00:00:00;;;;
"POINT (649020.044691604 6869074.71766852)";"3462845";"3462845";POP GENNEVILLIERS DOJO;;SFR_COLL;DSP MAJ - IRISE;;;;ST;OPT;Site sur t_suf;A;;;;2006-04-21 00:00:00;;;;
