cc_cb_code;cc_cd_code;cc_creadat;cc_majdate;cc_majsrc;cc_abddate;cc_abdsrc
7177825;459246;05/08/2013;;;;
4602986;429449;02/07/2004;;;;
4602989;429449;02/07/2004;;;;
4612496;431364;30/11/2007;;;;
4631470;437633;09/04/2009;;;;
4602848;3477509;04/05/2005;;;;
4594516;432622;10/11/2004;;;;
4607060;450568;19/09/2006;;;;
4640375;472370;28/03/2012;;;;
4627696;429579;18/07/2008;;;;
4637360;433887;13/05/2011;;;;
7443729;752679;28/10/2013;;;;
41994979;469001;28/11/2023;;;;
4614664;435020;27/09/2007;;;;
4610518;441296;01/02/2005;;;;
4601645;438291;24/05/2004;;;;
22910505;1580868;29/03/2021;;;;
4633341;431637;21/04/2010;;;;
4609574;471621;17/01/2008;;;;
11103379;491801;27/03/2017;;;;
25134210;9247421;06/08/2021;;;;
4607747;488218;21/03/2005;;;;
4604622;508176;17/10/2011;;;;
4614528;435505;18/09/2007;;;;
30276902;9165180;21/03/2022;;;;
36786021;;16/02/2023;;;;
32578977;9253178;05/07/2022;;;;
4613100;459402;15/05/2006;;;;
8929058;492574;16/01/2015;;;;
4631507;489811;24/07/2009;;;;
4604826;430432;03/08/2009;;;;
15755273;439867;06/09/2019;;;;
4638101;500002;11/01/2012;;;;
8130193;436625;30/04/2014;;;;
17132865;466556;20/01/2020;;;;
14842595;984376;20/05/2019;;;;
7685075;984376;09/01/2014;;;;
42551137;432813;22/10/2007;;;;
22910503;1580860;29/03/2021;;;;
19898275;1580860;28/08/2020;;;;
34311476;9495748;07/10/2022;;;;
8916818;486786;12/01/2015;;;;
15232370;9093830;05/07/2019;;;;
4604418;453234;08/08/2002;;;;
4613107;453234;16/05/2006;;;;
4636020;3193659;26/04/2010;;;;
11092243;1596550;23/03/2017;;;;
16550754;;19/09/2019;;;;
4611520;432436;03/11/2006;;;;
4640671;1612221;14/03/2012;;;;
4614837;430793;25/09/2007;;;;
22082020;439253;30/01/2021;;;;
22082017;439253;30/01/2021;;;;
7428627;931566;23/10/2013;;;;
4610946;456709;19/07/2006;;;;
4631453;427617;24/07/2009;;;;
4600900;435335;11/12/2003;;;;
16712035;8293175;07/12/2019;;;;
4622723;429251;01/02/2010;;;;
6338177;8172220;07/05/2013;;;;
25618034;984382;07/09/2021;;;;
16619875;439337;28/11/2019;;;;
16337122;439337;04/11/2019;;;;
8781057;1605175;12/11/2014;;;;
10934468;1625025;20/02/2017;;;;
4642046;1788559;22/05/2012;;;;
4631544;436030;11/05/2009;;;;
4620978;434402;04/01/2008;;;;
4606593;434402;28/11/2006;;;;
45231790;977990;11/06/2024;;;;
8234897;3476223;03/06/2014;;;;
7717377;3476223;17/01/2014;;;;
16893522;434638;24/12/2019;;;;
6088561;471205;08/04/2013;;;;
4595202;433345;19/02/2003;;;;
4639555;433660;06/02/2012;;;;
13049009;1134138;06/07/2018;;;;
22082018;496522;30/01/2021;;;;
