ps_code;ps_numero;ps_1;ps_2;ps_cs_code;ps_ti_code;ps_type;ps_fonct;ps_etat;ps_preaff;ps_comment;ps_creadat;ps_majdate;ps_majsrc;ps_abddate;ps_abdsrc
PS000000070880;8;FO000000092026;FO000000092074;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070882;9;FO000000092027;FO000000092075;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070884;10;FO000000092028;FO000000092076;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070886;11;FO000000092029;FO000000092077;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070888;12;FO000000092030;FO000000092078;1797279;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070894;0;FO000000092037;FO000000093357;1797607;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070895;1;FO000000092038;FO000000093358;1797607;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070910;8;FO000000092051;FO000000093371;1797139;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070911;9;FO000000092052;FO000000093372;1797139;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070916;2;FO000000092057;FO000000093377;1797140;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070917;3;FO000000092058;FO000000093378;1797140;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070918;4;FO000000092059;FO000000093379;1797140;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070919;5;FO000000092060;FO000000093380;1797140;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070926;0;FO000000092067;FO000000093387;1797141;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070927;1;FO000000092068;FO000000093388;1797141;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070930;4;FO000000092071;FO000000093391;1797141;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070931;5;FO000000092072;FO000000093392;1797141;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070938;1;FO000000092079;FO000000092151;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070939;2;FO000000092080;FO000000092152;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070940;3;FO000000092081;FO000000092153;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070941;4;FO000000092082;FO000000092154;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070942;5;FO000000092083;FO000000092155;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070943;6;FO000000092084;FO000000092156;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070944;7;FO000000092085;FO000000092157;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070945;8;FO000000092086;FO000000092158;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070946;9;FO000000092087;FO000000092159;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070947;10;FO000000092088;FO000000092160;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070948;11;FO000000092089;FO000000092161;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070949;12;FO000000092090;FO000000092162;1797238;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070950;1;FO000000092091;FO000000092163;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070951;2;FO000000092092;FO000000092164;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070952;3;FO000000092093;FO000000092165;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070953;4;FO000000092094;FO000000092166;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070954;5;FO000000092095;FO000000092167;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070955;6;FO000000092096;FO000000092168;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070956;7;FO000000092097;FO000000092169;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070957;8;FO000000092098;FO000000092170;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070958;9;FO000000092099;FO000000092171;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070959;10;FO000000092100;FO000000092172;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070960;11;FO000000092101;FO000000092173;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070961;12;FO000000092102;FO000000092174;1797239;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070962;1;FO000000092103;FO000000092175;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070963;2;FO000000092104;FO000000092176;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070964;3;FO000000092105;FO000000092177;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070965;4;FO000000092106;FO000000092178;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070966;5;FO000000092107;FO000000092179;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070967;6;FO000000092108;FO000000092180;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070968;7;FO000000092109;FO000000092181;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070969;8;FO000000092110;FO000000092182;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070970;9;FO000000092111;FO000000092183;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070971;10;FO000000092112;FO000000092184;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070972;11;FO000000092113;FO000000092185;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070973;12;FO000000092114;FO000000092186;1797240;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070974;1;FO000000092115;FO000000092187;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070975;2;FO000000092116;FO000000092188;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070976;3;FO000000092117;FO000000092189;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070977;4;FO000000092118;FO000000092190;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070978;5;FO000000092119;FO000000092191;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070979;6;FO000000092120;FO000000092192;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070980;7;FO000000092121;FO000000092193;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070981;8;FO000000092122;FO000000092194;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070982;9;FO000000092123;FO000000092195;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070983;10;FO000000092124;FO000000092196;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070984;11;FO000000092125;FO000000092197;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070985;12;FO000000092126;FO000000092198;1797241;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070986;1;FO000000092127;FO000000092199;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070987;2;FO000000092128;FO000000092200;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070988;3;FO000000092129;FO000000092201;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070989;4;FO000000092130;FO000000092202;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070990;5;FO000000092131;FO000000092203;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070992;6;FO000000092132;FO000000092204;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070994;7;FO000000092133;FO000000092205;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070995;8;FO000000092134;FO000000092206;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070996;9;FO000000092135;FO000000092207;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070997;10;FO000000092136;FO000000092208;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070998;11;FO000000092137;FO000000092209;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000070999;12;FO000000092138;FO000000092210;1797242;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071000;5;FO000000092143;FO000000092215;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071001;6;FO000000092144;FO000000092216;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071002;7;FO000000092145;FO000000092217;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071003;8;FO000000092146;FO000000092218;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071004;9;FO000000092147;FO000000092219;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071005;10;FO000000092148;FO000000092220;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071006;11;FO000000092149;FO000000092221;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071007;12;FO000000092150;FO000000092222;1797243;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071008;1;FO000000092151;FO000000093279;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071009;2;FO000000092152;FO000000093280;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071010;3;FO000000092153;FO000000093281;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071011;4;FO000000092154;FO000000093282;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071012;5;FO000000092155;FO000000093283;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071013;6;FO000000092156;FO000000093284;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071014;7;FO000000092157;FO000000093285;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071015;8;FO000000092158;FO000000093286;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071016;9;FO000000092159;FO000000093287;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071017;10;FO000000092160;FO000000093288;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071018;11;FO000000092161;FO000000093289;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071019;12;FO000000092162;FO000000093290;1797516;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071020;1;FO000000092163;FO000000093291;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071021;2;FO000000092164;FO000000093292;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071022;3;FO000000092165;FO000000093293;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071023;4;FO000000092166;FO000000093294;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071024;5;FO000000092167;FO000000093295;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071025;6;FO000000092168;FO000000093296;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071026;7;FO000000092169;FO000000093297;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071027;8;FO000000092170;FO000000093298;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071028;9;FO000000092171;FO000000093299;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071029;10;FO000000092172;FO000000093300;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071030;11;FO000000092173;FO000000093301;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071031;12;FO000000092174;FO000000093302;1797517;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071032;1;FO000000092175;FO000000093303;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071033;2;FO000000092176;FO000000093304;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
PS000000071034;3;FO000000092177;FO000000093305;1797518;;SFU;EP;;;;05/07/2023 00:00;;;;
